OVX,GZL,VIX,VSTOXX,CIG,ELP,VER,NDX1,VWS,SGRE,AA4,PLUG,ORA,FSLR,SPWR,CSIQ,BLX,INE,CEN,GCLP
44.39,26.85,24.78,40.54,2.4405970693301,2.31149418836797,3.35022613341711,4.70765442806948,2.46387561083762,2.77713333724242,2.10569181037844,7.80227193047486,2.17703005841652,5.6089905192235,5.49046344633534,7.55398388596209,2.98015034252522,0.662533564893158,1.01511960561765,4.02588230297343
48.41,26.12,23.15,42.1,1.92073116173058,2.00586379367521,2.25630412740308,2.71111238423578,1.89713400472023,2.99764958497727,1.2256133521575,2.78529618010112,1.42671564541499,3.77845971559005,4.43710411351145,8.71667240738381,2.52149312508208,1.71545847283603,0.731133096515929,3.16445920904331
46.91,26.79,25.59,43.24,2.79103695113307,4.15631223409411,2.02694957940757,6.0989110388099,1.09430797898684,1.92419503521395,1.50013536915449,3.41556903699597,1.97459524558607,3.32066455877129,5.80846744132991,7.34883104218872,2.87673398299003,0,0.505021671865715,1.25958620124173
47.67,33.32,27.49,46.56,2.39681918935754,2.1823488849849,1.78854358050834,3.51870839520692,1.89329112194254,2.5056784798691,2.80999274870163,4.85937679932277,1.76901797944068,3.33932733119718,4.15722626548567,4.23296959586999,4.64337759912752,0.237349318708742,1.48712746750699,3.17967592664801
47.24,31.09,28.48,46,2.08018986650122,1.88491783949217,0.841976063761709,5.05022160053182,2.12896796911467,2.00336883271048,2.53844871886519,3.3207316668389,1.93161550167216,1.65266527576442,2.83286472122436,6.17348248712586,2.13628497952734,0.86680814421422,1.23635916022043,3.72218802953551
50.89,30.4,28.54,48,4.15156552979273,2.84380065419439,1.9166054204273,3.76799184690826,3.0986755726222,2.51683864587052,2.48588978954867,4.07150264659225,2.32803726551407,3.48089692500048,5.3711955758597,6.9403062993809,3.73399221474866,0.102047503415407,1.61983927514209,2.71707009975142
52.02,28.41,25.1,45.57,2.12448391242898,1.57326830139097,2.43284290228289,5.64754377984462,2.00398369164391,2.53684592308728,3.87995660703429,9.28810741759661,1.81242823350046,2.18301127073227,3.71276162791088,3.69374940059016,2.32607615644383,0.0474015128640818,2.16265729822153,2.13390994801664
53.88,27.28,25.01,42.47,2.64301007925732,3.81258196803866,4.1289783419812,3.77236904175782,2.69520928949346,1.00694623260759,1.09286674341504,4.02080891976998,3.15089431823371,3.97192564932463,6.7067819079654,5.96128478825412,2.61303082151443,0,0.814758746457377,2.55247437223386
53.73,27.05,24.05,39.46,1.99406124691514,1.95512555349084,2.53219306993379,3.09824363517777,2.69985996110286,1.49574684665011,1.55423766220769,4.75503334009503,2.73654691183469,2.69273439338808,3.20721538600718,4.34663678094192,1.9940693822555,0.238033821584187,1.06423182299898,3.10584538062877
51.46,26.61,23.05,39.46,0.927407463285594,2.4272820178499,4.1074674666086,4.03764380087737,2.00772408532499,2.33505485534366,2.2600306071985,5.33404662911218,1.64285192900612,1.89840892974666,3.9589680496276,4.06131105915889,4.36921591260339,2.07457261171378,2.22219412049995,3.30985475477892
50.94,25.81,21.18,38.77,1.07413966253977,4.6102285071232,2.43164229518725,3.33858260858765,1.91438190024723,1.80379129311596,1.8230442371294,5.07815875464104,1.79531570378825,4.45149899622082,5.47327850117229,8.29486199010103,4.06309983365575,0.719312723780608,0.581689649221297,2.24347583438532
51.54,25.64,21.31,37.25,2.42215385789864,1.74414083724176,3.58425256482461,0.991733260967556,1.17387455134303,1.43156778770379,2.78861768480336,2.31268195438821,2.70657930231353,1.85898163962673,2.24289356502326,3.6704721472668,1.55022048410737,0,1.75134658105907,1.25093975728164
50.7,26.15,23.44,37.49,2.32125895236954,2.19278554977036,3.7610293966391,5.70268744806094,2.23183375828162,4.09363156021983,1.2131081312918,2.53358323043089,1.8632735283105,3.47192957272803,3.42668060466412,5.91885106225217,2.71589123742832,0.479183274459891,1.51794075463918,1.66433040702824
48.84,26.06,22.91,37.39,2.40091057504779,2.30445722651949,2.45598835820399,2.98533848049916,1.67480903176735,3.38984339112553,2.11860028673098,7.13637403838339,1.74831803013922,2.12750509547972,2.55311252245463,5.54489425186466,2.28737782698058,0.0485874231010504,1.30184115811629,0.434556134608356
49.28,26.45,24.23,39.06,3.49880522206779,1.49131545082257,2.21537876499105,3.78842111602022,2.35300881599482,3.53931151609412,2.22278774654487,4.47297563729675,1.86922358998839,2.93081540085948,2.91465572088429,4.31043768303724,1.33949300497041,2.05800068909821,0.761523894293092,2.00627866985253
48.38,25.46,22.03,38.26,2.20658987198532,1.61871668468351,2.52226463929846,6.58627603985398,3.11109318315929,5.07757753138757,1.25081264208792,6.96655446007716,2.20110100894529,4.78133983375293,5.70803954758156,7.80171078764693,1.5950093388198,0,0.423664908601625,1.25578823517939
47.17,24.92,21.21,36.12,2.1247803712912,2.3490089000819,0.871951276800833,4.46029869057271,2.57916428321469,2.426133288697,0.30586180931937,4.94152579280648,1.83695062495241,3.583334442199,3.92341514952752,5.34273982634678,2.38698342087243,0.99837428620393,0.856306628899634,0.858394399252394
47.02,22.94,22.94,36.4,1.38309882027643,2.15855726083373,2.68151295604609,8.51281255297466,1.41345020314841,1.5469654519746,1.5096128938873,2.7834204541716,3.38197084014871,3.14186566933531,2.78101765503351,6.17839494114874,1.74561576741033,0,1.1180131711163,1.83490864592644
